Mois;2G Traffic - Speech (BH) (Erlangs);3G Traffic - Speech BH (Erlangs);2G Voice Traffic volumes (Mmn);3G Voice traffic Volume (Mmn);Poids de Trafic voix 2G;Poids de Trafic voix 3G;CA Data;TC YoY CA Data;2G Data Traffic Volume (Tbytes);3GData Traffic Volume (TBytes);4G Traffic Volume (TBytes);Poids de Trafic data 2G;Poids de Trafic data 3G;Poids de Trafic data 4G;Volume data jour;TC YoY Jour;Volume data nuit;TC YoY Nuit
janv-18;154264;47610;2301;1075;68%;32%;6405488144;;254;4620;1401;4%;74%;22%;;;;
févr-18;152225;50557;2126;967;69%;31%;6103904804;;254;4399;1417;4%;72%;23%;;;;
mars-18;154941;53533;2429;1147;68%;32%;7079724362;;259;5031;1690;4%;72%;24%;;;;
avr-18;156913;55993;2372;1184;67%;33%;7146706513;;260;5029;1862;4%;70%;26%;5817;;1334;
mai-18;155366;58875;2286;1198;66%;34%;7576427467;;304;5228;2166;4%;68%;28%;6048;;1650;
juin-18;151793;59884;2282;1275;64%;36%;7612553565;;288;5231;2246;4%;67%;29%;6031;;1735;
juil-18;153362;64296;2335;1303;64%;36%;7605826745;;295;5200;2392;4%;66%;30%;6248;;1639;
août-18;152584;64012;2415;1350;64%;36%;7488952320;;317;5052;2572;4%;64%;32%;6041;;1899;
sept-18;146953;59756;2296;1265;64%;36%;7352817047;;300;5244;2772;4%;63%;33%;5949;;2367;
oct-18;141723;59215;2254;1272;64%;36%;7290233836;;294;5600;3117;3%;62%;35%;6384;;2627;
nov-18;131959;61962;2089;1263;62%;38%;7316813771;;298;6089;3463;3%;62%;35%;6979;;2872;
déc-18;143218;63812;2241;1403;61%;39%;7833282579;;325;6675;4104;3%;60%;37%;7932;;3171;
janv-19;146470;66517;2243;1439;61%;39%;8107187524;;354;7150;4589;3%;59%;38%;8671;;3423;
févr-19;154650;70390;2120;1344;61%;39%;7896125703;;352;7110;4817;3%;58%;39%;8804;;3476;
mars-19;153704;73810;2333;1524;60%;40%;8524110095;;391;7985;5537;3%;57%;40%;9976;;3938;
avr-19;150942;73889;2257;1509;60%;40%;8597388534;20%;383;8049;5771;3%;57%;41%;9683;66%;4520;239%
mai-19;141480;70432;2107;1497;58%;42%;8570137347;13%;415;8873;6528;3%;56%;41%;10193;69%;5623;241%
juin-19;144260;74908;2206;1535;59%;41%;9028332201;19%;397;8699;7033;2%;54%;44%;10791;79%;5338;208%
juil-19;145904;79010;2183;1600;58%;42%;9298091441;22%;402;9038;7863;2%;52%;45%;11489;84%;5653;245%
août-19;134862;74093;2045;1500;58%;42%;9666686071;29%;412;9173;8047;2%;52%;46%;11677;93%;5809;206%
sept-19;116868;64663;1686;1307;56%;44%;9251945161;26%;404;9160;8374;2%;51%;47%;11564;94%;5868;148%
oct-19;117127;66592;1790;1401;56%;44%;9197480790;26%;379;9197;8693;2%;50%;48%;11705;83%;5759;119%
nov-19;123510;73394;1757;1429;55%;45%;8773006263;20%;362;9190;8774;2%;50%;48%;12439;78%;5686;98%
déc-19;129789;80893;1985;1671;54%;46%;9119563161;16%;377;9802;9991;2%;49%;50%;13777;74%;6202;96%
janv-20;132791;86885;2005;1751;53%;47%;9094445705;12%;404;10129;10631;2%;48%;50%;13458;55%;6085;78%
févr-20;137755;90857;1929;1827;51%;49%;8879993975;12%;397;9851;10890;2%;47%;52%;14307;63%;6627;91%
mars-20;142170;93122;2180;1961;53%;47%;10080269731;18%;465;11436;13430;2%;45%;53%;17360;74%;7851;99%
avr-20;147854;89202;2068;1889;52%;48%;9405992977;9%;489;12066;14905;2%;44%;54%;17483;81%;9736;115%
mai-20;164155;102515;2259;2080;52%;48%;9783622557;14%;499;12860;16295;2%;43%;55%;17557;72%;11838;111%
juin-20;144764;103171;2278;2142;52%;48%;8959499418;-1%;421;11315;14717;2%;43%;56%;17121;59%;9110;71%
juil-20;136571;106691;2255;2325;49%;51%;9322610800;0%;406;10668;14321;2%;42%;56%;17074;49%;8540;51%
août-20;122452;92821;1948;1911;50%;50%;10045435661;4%;367;10369;14097;1%;42%;57%;17642;51%;8580;48%
sept-20;119654;94784;1833;1893;49%;51%;9264273179;0%;344;10163;13879;1%;42%;57%;16376;42%;8340;42%
oct-20;117117;98332;1993;2096;49%;51%;9905689501;8%;334;10715;15250;1%;41%;58%;17510;50%;8790;53%
